vol_label,vol_key,V_norm,p_norm_mean,p_norm_std
25%,v1,0.00032831408893116936,0.04368805604055736,0.007469715910706824
25%,v1,0.0003382630007169624,0.044585497306303214,0.007469715910706824
25%,v1,0.0003482119125027554,0.04591640767365555,0.007469715910706824
25%,v1,0.0003581608242885484,0.04724731804100788,0.0048900769400900025
25%,v1,0.00036810973607434143,0.048578228408360215,0.0048900769400900025
25%,v1,0.0003780586478601344,0.04975754784703141,0.005646574475437888
25%,v1,0.0003880075596459274,0.05210938647099894,0.003466433079539731
25%,v1,0.00039795647143172047,0.055436662389379776,0.006241884966012407
25%,v1,0.00040790538321751346,0.05825007405276558,0.012937927475449846
25%,v1,0.00041785429500330645,0.05989096653085506,0.012937927475449846
25%,v1,0.0004278032067890995,0.05989096653085506,0.012937927475449846
25%,v1,0.0004377521185748925,0.0601252789737176,0.012937927475449846
25%,v1,0.0004477010303606855,0.06286356303398045,0.012310092230684218
25%,v1,0.00045764994214647853,0.0667767094950507,0.012273443393567089
25%,v1,0.0004675988539322715,0.07104429049561298,0.010073981242543002
25%,v1,0.0004775477657180645,0.07254525757864173,0.011700893676654193
25%,v1,0.00048749667750385756,0.07273784181635408,0.010698714713444175
25%,v1,0.0004974455892896506,0.07409147418741668,0.010198158478768244
25%,v1,0.0005073945010754436,0.07548979832244716,0.014343660170671239
25%,v1,0.0005173434128612366,0.07657659224123686,0.013399424036165748
25%,v1,0.0005272923246470296,0.07533701714681398,0.012600098712321886
25%,v1,0.0005372412364328226,0.07444752342096013,0.013355567816115247
25%,v1,0.0005471901482186156,0.077668513623387,0.016806891544959866
25%,v1,0.0005571390600044087,0.08136954431353292,0.017777819133384193
25%,v1,0.0005670879717902017,0.08534125815972285,0.01734740235730411
25%,v1,0.0005770368835759947,0.08614529359026722,0.015616809352702014
25%,v1,0.0005869857953617877,0.08678322123537187,0.015024308110280783
25%,v1,0.0005969347071475806,0.08713429221071874,0.01530352209816401
25%,v1,0.0006068836189333736,0.08856402489899388,0.014686824808980667
25%,v1,0.0006168325307191667,0.09092185396617364,0.012306423757804975
25%,v1,0.0006267814425049597,0.09316372571466343,0.010179506900958743
25%,v1,0.0006367303542907527,0.09490781930600682,0.010179506900958743
25%,v1,0.0006466792660765457,0.09716216300818349,0.012474588913270126
25%,v1,0.0006566281778623387,0.10048943892656434,0.011310398643608964
25%,v1,0.0006665770896481318,0.10273807643727795,0.012306423757804977
25%,v1,0.0006765260014339248,0.10381100865348211,0.012306423757804977
25%,v1,0.0006864749132197178,0.10573073192495774,0.012306423757804977
25%,v1,0.0006964238250055108,0.10837311843462312,0.007220816691818396
25%,v1,0.0007063727367913038,0.11075287368889365,0.005564122041563542
25%,v1,0.0007163216485770968,0.11095027441629375,0.0044498719917162545
25%,v1,0.0007262705603628899,0.11030425345765689,0.003335621941868947
25%,v1,0.0007362194721486829,0.10997199137148692,0.0028232872377189425
25%,v1,0.0007461683839344759,0.11015178923849482,0.0038252304715794814
25%,v1,0.0007561172957202689,0.11076355795998896,0.006586001879755936
25%,v1,0.0007660662075060618,0.11170622223628868,0.007149652894178556
25%,v1,0.0007760151192918548,0.11213682655941051,0.0037207957903814728
25%,v1,0.0007859640310776479,0.1128559682052687,0.0029724893911667947
25%,v1,0.0007959129428634409,0.1144208918463379,0.004890076940090005
25%,v1,0.0008058618546492339,0.11701700712674176,0.0026319743708520913
25%,v1,0.0008158107664350269,0.11901337267777026,0.004890076940089999
25%,v1,0.0008257596782208199,0.11987191456867717,0.004890076940089999
25%,v1,0.0008357085900066129,0.12179756877683909,0.004904955919142306
25%,v1,0.000845657501792406,0.12445938951154376,0.009521525445505559
25%,v1,0.000855606413578199,0.12703122873928135,0.007469715910706827
25%,v1,0.000865555325363992,0.12776739526582412,0.007469715910706827
25%,v1,0.000875504237149785,0.12969839072392955,0.007469715910706827
25%,v1,0.000885453148935578,0.13350145483063253,0.0029620190750649475
25%,v1,0.000895402060721371,0.13648003454662783,0.006714524581844162
25%,v1,0.0009053509725071641,0.1384237398893597,0.003683911464210392
25%,v1,0.0009152998842929571,0.13889821487179854,0.00699846180976921
25%,v1,0.0009252487960787501,0.13993455734957347,0.006337732572985824
25%,v1,0.000935197707864543,0.1418532486948475,0.005694232668325389
25%,v1,0.000945146619650336,0.14259130515891733,0.01009383191454876
25%,v1,0.000955095531436129,0.14523093480190877,0.006158352451908036
25%,v1,0.0009650444432219221,0.14609209449255914,0.014116436188594726
25%,v1,0.0009749933550077151,0.14839650595978532,0.014116436188594726
25%,v1,0.0009849422667935082,0.14972741632713765,0.01293792747544985
25%,v1,0.0009948911785793012,0.15105832669448999,0.011293148950875784
25%,v1,0.0010048400903650942,0.15297114136199397,0.011293148950875784
25%,v1,0.0010147890021508872,0.15438524903113138,0.01259001680533657
25%,v1,0.0010247379139366802,0.15630503190178927,0.010361716991715066
25%,v1,0.0010346868257224732,0.15730702259064785,0.007829501747221641
25%,v1,0.0010446357375082662,0.15823712639917045,0.006668792674502151
25%,v1,0.0010545846492940592,0.15910282495256847,0.010360633088756522
25%,v1,0.0010645335610798522,0.15982226689447607,0.013861560801337802
25%,v1,0.0010744824728656452,0.1610997684971767,0.01541880545469455
25%,v1,0.0010844313846514382,0.16354395477167383,0.016315142496676444
